300317 珈伟新能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/05/11	4.65	4.90	4.65	4.66	16034693	211350128.00
2012/05/14	4.54	4.61	4.44	4.46	12256288	154575600.00
2012/05/15	4.39	4.55	4.37	4.48	7024593	87709656.00
2012/05/16	4.50	4.57	4.42	4.45	5060897	63645084.00
2012/05/17	4.51	4.55	4.42	4.48	4607991	57646304.00
2012/05/18	4.41	4.41	4.19	4.20	7267503	87347312.00
2012/05/21	4.16	4.24	4.10	4.14	3207225	37410628.00
2012/05/22	4.18	4.21	4.15	4.19	2856018	33450110.00
2012/05/23	4.16	4.22	4.11	4.20	3389256	39666060.00
2012/05/24	4.21	4.35	4.19	4.27	4972849	59766424.00
2012/05/25	4.24	4.27	4.07	4.10	3364211	39204384.00
2012/05/28	4.06	4.13	3.99	4.13	2134472	24298086.00
2012/05/29	4.12	4.19	4.10	4.17	2103048	24511866.00
2012/05/30	4.17	4.27	4.14	4.20	2924115	34485628.00
2012/05/31	4.17	4.33	4.14	4.28	3710213	44349084.00
2012/06/01	4.26	4.32	4.19	4.21	2158863	25591766.00
2012/06/04	4.12	4.17	4.05	4.06	2411667	27766620.00
2012/06/05	4.08	4.27	4.07	4.16	2866483	33614840.00
2012/06/06	4.16	4.26	4.11	4.16	2058474	24186476.00
2012/06/07	4.21	4.23	4.09	4.11	1710691	19889988.00
2012/06/08	4.16	4.17	4.08	4.10	1102912	12738186.00
2012/06/11	4.10	4.19	4.07	4.18	1538156	17869938.00
2012/06/12	4.14	4.24	4.12	4.16	1815732	21330348.00
2012/06/13	4.17	4.28	4.14	4.26	2964156	35045976.00
2012/06/14	4.24	4.27	4.19	4.20	2247228	26660260.00
2012/06/15	4.20	4.25	4.14	4.21	1721056	20267668.00
2012/06/18	4.24	4.34	4.21	4.30	3086426	36933072.00
2012/06/19	4.28	4.28	4.19	4.22	1991250	23594688.00
2012/06/20	4.24	4.32	4.21	4.30	3040757	36473720.00
2012/06/21	4.30	4.34	4.23	4.29	2721049	32709760.00
2012/06/25	4.26	4.28	4.10	4.12	2144123	25044828.00
2012/06/26	4.10	4.21	4.03	4.20	2070208	24033710.00
2012/06/27	4.17	4.45	4.16	4.31	5252431	63560024.00
2012/06/28	4.30	4.34	4.17	4.18	2990021	35676128.00
2012/06/29	4.14	4.34	4.10	4.33	3072701	36530500.00
2012/07/02	4.34	4.50	4.30	4.47	5184063	64291560.00
2012/07/03	4.44	4.60	4.38	4.52	5478761	68625384.00
2012/07/04	4.55	4.55	4.40	4.42	3727697	46578996.00
2012/07/05	4.38	4.41	4.28	4.36	2607077	31754142.00
2012/07/06	4.39	4.41	4.19	4.35	3211855	38575560.00
2012/07/09	4.30	4.30	4.14	4.16	2089860	24749706.00
2012/07/10	4.14	4.22	4.08	4.08	1459922	16960390.00
2012/07/11	4.08	4.14	4.05	4.10	1279493	14668419.00
2012/07/12	4.10	4.10	3.73	3.90	3773226	41560640.00
2012/07/13	3.86	3.88	3.72	3.73	1957738	20914924.00
2012/07/16	3.34	3.34	3.34	3.34	427900	4043655.00
2012/07/17	3.00	3.12	3.00	3.08	5534083	47629488.00
2012/07/18	3.05	3.05	2.93	3.02	3504998	29710482.00
2012/07/19	2.97	3.09	2.97	3.04	3280127	28348980.00
2012/07/20	3.03	3.06	2.98	2.99	2205990	18906500.00
2012/07/23	2.96	2.96	2.87	2.90	1858229	15341070.00
2012/07/24	2.90	2.99	2.87	2.98	1836278	15404712.00
2012/07/25	2.96	3.08	2.92	3.02	3069766	26314324.00
2012/07/26	3.00	3.03	2.89	2.92	2194295	18496698.00
2012/07/27	2.93	2.97	2.90	2.93	1301134	10841146.00
2012/07/30	2.92	2.94	2.72	2.73	2198964	17434224.00
