603579 荣泰健康 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/11	25.70	31.06	25.70	31.06	3300	211151.00
2017/01/12	34.27	34.27	34.27	34.27	5400	381996.00
2017/01/13	37.81	37.81	37.81	37.81	15800	1229398.00
2017/01/16	41.70	41.70	41.70	41.70	45400	3885786.00
2017/01/17	45.98	45.98	45.98	45.98	611524	57574984.00
2017/01/18	50.69	50.69	50.69	50.69	154081	15958169.00
2017/01/19	55.86	55.86	45.61	45.64	9635466	946032960.00
2017/01/20	45.45	50.32	45.45	50.32	6804881	673210880.00
2017/01/23	51.32	55.25	50.49	53.33	6705454	722623744.00
2017/01/24	52.40	55.14	51.15	51.41	4386749	472093920.00
2017/01/25	50.84	56.66	50.53	55.76	5244151	585826240.00
2017/01/26	55.20	60.49	54.90	59.33	5573391	650689280.00
2017/02/03	58.28	61.58	58.08	58.79	4146329	502858688.00
2017/02/06	58.46	60.90	56.90	60.47	3923131	471708128.00
2017/02/07	59.45	60.58	58.41	59.65	2778156	336217824.00
2017/02/08	58.96	60.70	57.80	60.27	3324700	402840384.00
2017/02/09	59.90	63.83	59.90	61.41	3586255	451525888.00
2017/02/10	61.15	61.83	58.55	58.87	2853682	349674816.00
2017/02/13	58.41	61.28	57.91	60.36	2567130	314189024.00
2017/02/14	60.15	62.15	59.96	61.26	2441301	303636256.00
2017/02/15	61.40	62.40	58.40	59.17	3525068	437309792.00
2017/02/16	58.56	60.05	57.94	58.91	2235025	267647664.00
2017/02/17	58.65	59.83	56.20	57.10	2805168	328675232.00
2017/02/20	56.96	57.24	54.57	55.97	1945162	220826624.00
2017/02/21	56.09	61.67	55.90	61.67	3261729	396569376.00
2017/02/22	62.34	66.40	61.89	64.80	4626480	601293056.00
2017/02/23	63.99	65.60	63.40	65.39	3177331	418275040.00
2017/02/24	65.40	66.83	62.33	62.39	4220994	546637504.00
2017/02/27	59.40	60.07	57.40	58.42	4993570	597619584.00
2017/02/28	59.15	60.90	58.06	60.24	3672042	444736768.00
2017/03/01	60.36	62.94	59.90	60.25	3605520	450651552.00
2017/03/02	59.55	62.65	58.46	61.49	3994041	493146048.00
2017/03/03	60.85	61.16	59.40	60.48	2382639	292597184.00
2017/03/06	60.34	66.64	60.33	66.64	3035583	393650144.00
2017/03/07	68.40	69.64	66.99	67.85	4784179	661784192.00
2017/03/08	67.40	69.19	65.42	65.55	3469812	474125824.00
2017/03/09	65.43	67.35	65.30	66.95	3127264	421978400.00
2017/03/10	66.46	66.89	64.91	65.99	2169315	289999904.00
2017/03/13	66.90	70.90	66.84	69.40	3915705	549262848.00
2017/03/14	68.91	71.15	68.40	69.19	2439769	344352576.00
2017/03/15	68.40	70.89	67.85	69.69	2246161	317501376.00
2017/03/16	69.70	72.95	69.41	70.87	2543896	368416192.00
